t,zone,soc,reachable,num_reachable,req_de_all,min_de_any,n_expected,n_finite
1,308,0,0,0,10.0,10.0,1,1
1,308,5,0,0,10.0,10.0,1,1
1,308,10,1,1,10.0,10.0,1,1
1,308,15,1,1,10.0,10.0,1,1
1,308,20,1,1,10.0,10.0,1,1
1,308,25,1,1,10.0,10.0,1,1
1,308,30,1,1,10.0,10.0,1,1
1,308,35,1,1,10.0,10.0,1,1
1,308,40,1,1,10.0,10.0,1,1
1,308,45,1,1,10.0,10.0,1,1
1,308,50,1,1,10.0,10.0,1,1
1,308,55,1,1,10.0,10.0,1,1
1,308,60,1,1,10.0,10.0,1,1
1,308,65,1,1,10.0,10.0,1,1
1,308,70,1,1,10.0,10.0,1,1
1,308,75,1,1,10.0,10.0,1,1
1,308,80,1,1,10.0,10.0,1,1
1,308,85,1,1,10.0,10.0,1,1
1,308,90,1,1,10.0,10.0,1,1
1,308,95,1,1,10.0,10.0,1,1
1,308,100,1,1,10.0,10.0,1,1
1,317,0,0,0,20.0,20.0,1,1
1,317,5,0,0,20.0,20.0,1,1
1,317,10,0,0,20.0,20.0,1,1
1,317,15,0,0,20.0,20.0,1,1
1,317,20,1,1,20.0,20.0,1,1
1,317,25,1,1,20.0,20.0,1,1
1,317,30,1,1,20.0,20.0,1,1
1,317,35,1,1,20.0,20.0,1,1
1,317,40,1,1,20.0,20.0,1,1
1,317,45,1,1,20.0,20.0,1,1
1,317,50,1,1,20.0,20.0,1,1
1,317,55,1,1,20.0,20.0,1,1
1,317,60,1,1,20.0,20.0,1,1
1,317,65,1,1,20.0,20.0,1,1
1,317,70,1,1,20.0,20.0,1,1
1,317,75,1,1,20.0,20.0,1,1
1,317,80,1,1,20.0,20.0,1,1
1,317,85,1,1,20.0,20.0,1,1
1,317,90,1,1,20.0,20.0,1,1
1,317,95,1,1,20.0,20.0,1,1
1,317,100,1,1,20.0,20.0,1,1
2,308,0,0,0,10.0,10.0,1,1
2,308,5,0,0,10.0,10.0,1,1
2,308,10,1,1,10.0,10.0,1,1
2,308,15,1,1,10.0,10.0,1,1
2,308,20,1,1,10.0,10.0,1,1
2,308,25,1,1,10.0,10.0,1,1
2,308,30,1,1,10.0,10.0,1,1
2,308,35,1,1,10.0,10.0,1,1
2,308,40,1,1,10.0,10.0,1,1
2,308,45,1,1,10.0,10.0,1,1
2,308,50,1,1,10.0,10.0,1,1
2,308,55,1,1,10.0,10.0,1,1
2,308,60,1,1,10.0,10.0,1,1
2,308,65,1,1,10.0,10.0,1,1
2,308,70,1,1,10.0,10.0,1,1
2,308,75,1,1,10.0,10.0,1,1
2,308,80,1,1,10.0,10.0,1,1
2,308,85,1,1,10.0,10.0,1,1
2,308,90,1,1,10.0,10.0,1,1
2,308,95,1,1,10.0,10.0,1,1
2,308,100,1,1,10.0,10.0,1,1
2,317,0,0,0,20.0,20.0,1,1
2,317,5,0,0,20.0,20.0,1,1
2,317,10,0,0,20.0,20.0,1,1
2,317,15,0,0,20.0,20.0,1,1
2,317,20,1,1,20.0,20.0,1,1
2,317,25,1,1,20.0,20.0,1,1
2,317,30,1,1,20.0,20.0,1,1
2,317,35,1,1,20.0,20.0,1,1
2,317,40,1,1,20.0,20.0,1,1
2,317,45,1,1,20.0,20.0,1,1
2,317,50,1,1,20.0,20.0,1,1
2,317,55,1,1,20.0,20.0,1,1
2,317,60,1,1,20.0,20.0,1,1
2,317,65,1,1,20.0,20.0,1,1
2,317,70,1,1,20.0,20.0,1,1
2,317,75,1,1,20.0,20.0,1,1
2,317,80,1,1,20.0,20.0,1,1
2,317,85,1,1,20.0,20.0,1,1
2,317,90,1,1,20.0,20.0,1,1
2,317,95,1,1,20.0,20.0,1,1
2,317,100,1,1,20.0,20.0,1,1
3,308,0,0,0,10.0,10.0,1,1
3,308,5,0,0,10.0,10.0,1,1
3,308,10,1,1,10.0,10.0,1,1
3,308,15,1,1,10.0,10.0,1,1
3,308,20,1,1,10.0,10.0,1,1
3,308,25,1,1,10.0,10.0,1,1
3,308,30,1,1,10.0,10.0,1,1
3,308,35,1,1,10.0,10.0,1,1
3,308,40,1,1,10.0,10.0,1,1
3,308,45,1,1,10.0,10.0,1,1
3,308,50,1,1,10.0,10.0,1,1
3,308,55,1,1,10.0,10.0,1,1
3,308,60,1,1,10.0,10.0,1,1
3,308,65,1,1,10.0,10.0,1,1
3,308,70,1,1,10.0,10.0,1,1
3,308,75,1,1,10.0,10.0,1,1
3,308,80,1,1,10.0,10.0,1,1
3,308,85,1,1,10.0,10.0,1,1
3,308,90,1,1,10.0,10.0,1,1
3,308,95,1,1,10.0,10.0,1,1
3,308,100,1,1,10.0,10.0,1,1
3,317,0,0,0,20.0,20.0,1,1
3,317,5,0,0,20.0,20.0,1,1
3,317,10,0,0,20.0,20.0,1,1
3,317,15,0,0,20.0,20.0,1,1
3,317,20,1,1,20.0,20.0,1,1
3,317,25,1,1,20.0,20.0,1,1
3,317,30,1,1,20.0,20.0,1,1
